module,difficulty,law_version,system,status,SA,held_out_rmsle,best_rmsle,method,symbolic_equivalent,judge_model,numeric_pass_002,numeric_pass_010,rmsle,law
m0_gravity,easy,v0,vanilla_equation,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,2.907295528364751e-17,6.674e-05 * (mass1 ** 1.0) * (mass2 ** 1.0) * (distance ** -1.5)
m0_gravity,easy,v0,simple_system,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,7.672973272656498e-16,6.674000000000023e-05 * (mass1 ** 1.0) * (mass2 ** 1.0) * (distance ** -1.5)
m0_gravity,easy,v0,complex_system,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,7.672973272656498e-16,6.674000000000023e-05 * (mass1 ** 1.0) * (mass2 ** 1.0) * (distance ** -1.5)
m0_gravity,easy,v1,vanilla_equation,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,4.601896271220378e-19,6.674e-05 * (mass1 ** 1.0) * (distance ** -2.0)
m0_gravity,easy,v1,simple_system,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,1.9948404336091302e-09,6.673997547225686e-05 * (mass1 ** 1.0) * (distance ** -2.0)
m0_gravity,easy,v1,complex_system,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,2.0028692122145224,0.4749999999999999 * (mass1 ** 1.0) * (distance ** -2.0)
m0_gravity,easy,v2,vanilla_equation,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,2.1142800975630103e-16,6.674e-05 * (mass1 ** 2.0) * (mass2 ** 2.0) * (distance ** -2.0)
m0_gravity,easy,v2,simple_system,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,3.921855771044108e-15,6.674000000000035e-05 * (mass1 ** 2.0) * (mass2 ** 2.0) * (distance ** -2.0)
m0_gravity,easy,v2,complex_system,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,3.921855771044108e-15,6.674000000000035e-05 * (mass1 ** 2.0) * (mass2 ** 2.0) * (distance ** -2.0)
m0_gravity,medium,v0,vanilla_equation,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,2.725665568209118e-16,6.674e-05 * (mass1 ** 2.0) * (mass2 ** 2.0) * (distance ** -1.5)
m0_gravity,medium,v0,simple_system,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,2.654167115644822e-15,6.674000000000023e-05 * (mass1 ** 2.0) * (mass2 ** 2.0) * (distance ** -1.5)
m0_gravity,medium,v0,complex_system,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,2.654167115644822e-15,6.674000000000023e-05 * (mass1 ** 2.0) * (mass2 ** 2.0) * (distance ** -1.5)
m0_gravity,medium,v1,vanilla_equation,ANSWER,1.0,0.0,,probe,True,gpt41,True,True,3.936472215940125e-19,6.674e-05 * (mass1 ** 1.0) * (distance ** -2.6)
