answered,benchmark,bio,correct,grid,model,n,primary,primary_metric,protocol,secondary,secondary_metric,seq,sha256,source
,DiscoveryBench,,,,GPT-4o-mini,239,28.698944012751546,HMS,matched frozen 4-proposal/1-round,34.5566845985256,Cons-HMS,,16e8294bf69104151a5a310d2b6ba6b569b06f9f4df61f5ba58fb3dc76509195,lmw/universal_discovery_real/aaai27_language_growth_protocol_v1_fixed_l0_test239/summary.json
,DiscoveryBench,,,,Gemini 2.5 Flash Lite,239,29.14021164021164,HMS,matched frozen 4-proposal/1-round,34.9979522259857,Cons-HMS,,dc91db1ba6ec1b6d6005c0358d665fcdc2ed92babd7e8cdd379361e604627454,lmw/universal_discovery_real/aaai27_modelcore_gemini_flash_lite_discovery_full239_matched_20260729/summary.json
,DiscoveryBench,,,,Qwen3-30B-A3B-Instruct,239,28.579232250780368,HMS,matched frozen 4-proposal/1-round,35.69220296207744,Cons-HMS,,ae570ef87f95a3c0a86fe8647dc532d63299bb8a56a017970a6ed0b264751fd8,lmw/universal_discovery_real/aaai27_modelcore_qwen3_30b_discovery_full239_matched_20260729/summary.json
248,NewtonBench,,94,,GPT-4o-mini,324,29.012345679012345,SA-all,frozen diagnostic kernel,37.903225806451616,SA-answered,,3667eaf22695c3953ce53888dd1e0134af8873de532de0720f6544b67783c229,lmw/nb_activeprobe/aaai27_newton_clean_20260724_seed2031_seed2031/summary.json
248,NewtonBench,,95,,Gemini 2.5 Flash Lite,324,29.320987654320987,SA-all,frozen diagnostic kernel,38.306451612903224,SA-answered,,d49f5f49866b244bad4ea328169278b12f4c461e3309771b4bf209e492f799f4,lmw/nb_activeprobe/aaai27_modelcore_gemini_flash_lite_newton_full324_20260721/summary.json
247,NewtonBench,,95,,Qwen3-30B-A3B-Instruct,324,29.320987654320987,SA-all,frozen diagnostic kernel,38.46153846153846,SA-answered,,0eee031fecd07bc4fd8d031cac6535db859f95577ae2a86fe23c8368f1ce8b94,lmw/nb_activeprobe/aaai27_modelcore_qwen3_30b_newton_full324_20260721/summary.json
246,NewtonBench,,95,,GPT-4o,324,29.320987654320987,SA-all,frozen diagnostic kernel,38.61788617886179,SA-answered,,c7d57c98f2584579b54406f0a719765673d22a949dd83618c8fb76998ec493c2,lmw/nb_activeprobe/aaai27_modelcore_gpt4o_newton_full324_rghli_20260721/summary.json
248,NewtonBench,,94,,DeepSeek V4 Flash,324,29.012345679012345,SA-all,frozen diagnostic kernel,37.903225806451616,SA-answered,,59d3fd39612d2af6d6df8c4b1d4c68e25a18f534d065c4850059cc6a6a2302f8,lmw/nb_activeprobe/aaai27_modelcore_deepseek_v4_flash_newton_full324_rghli_20260721/summary.json
,UltraHorizon,90.46875,,54.375,GPT-4o-mini,96,75.36458333333333,environment score,controller-enabled exact paper judge,,,81.25,711aeb16192542c37619088fe45e0ed4aeacd4c6515d9c1a3c11fe11c5bf3a1b;47f1e361e3025ff900c6d20c112275f771ca0aff672681fae2673abcd35c4dd2;e450997cb6d72c6d1b47fab8e53d8451792727e79857212fb8106be812288124,lmw/uh_official/uh_clean_universal_grid_full32_20260715/summary.json;lmw/uh_official/uh_clean_universal_seq_full32_20260715/summary.json;lmw/uh_official/uh_clean_universal_bio_full32_20260715/summary.json
,UltraHorizon,15.625,,80.625,Gemini 2.5 Flash Lite,96,65.41666666666667,environment score,controller-enabled exact paper judge,,,100.0,0aa7ac96c451f32c6b7a98daca3e9110c4a1d9f79b5daa4e7537865da1ebd00c;962cc40386b2dc3dbe42bafb2caf5bf53c8628bc573fc601e64b6a8d361827f5;36c5783b2208265d4edc65bacf1835203e99ec78df8ae1e5bc3735dedcf29be5,lmw/uh_official/aaai27_modelcore_gemini_uh_grid_full32_20260721/summary.json;lmw/uh_official/aaai27_modelcore_gemini_uh_seq_full32_20260721/summary.json;lmw/uh_official/aaai27_modelcore_gemini_uh_bio_full32_20260721/summary.json
,UltraHorizon,3.28125,,33.125,Qwen3-30B-A3B-Instruct,96,24.635416666666668,environment score,controller-enabled exact paper judge,,,37.5,ee98059fb130c1fac25364c7d6ad44eb579c6e2b9fdc6c69cef46874e9355d6f;94e7a4522ebe3a987a96226db0b45fd91688318aaa29e4b4303378e2fbf373cc;9f7ac2d77ec32abc04023e016af7579e31cf4a15eb296f9acca8a9efb665e0bd,lmw/uh_official/aaai27_modelcore_qwen_uh_grid_full32_20260721/summary.json;lmw/uh_official/aaai27_modelcore_qwen_uh_seq_full32_20260721/summary.json;lmw/uh_official/aaai27_modelcore_qwen_uh_bio_full32_20260721/summary.json
