claim_id,category,benchmark,artifact,records,bytes,sha256,description
headline.discovery.summary,headline,DiscoveryBench,lmw/universal_discovery_real/aaai27_language_growth_protocol_v1_fixed_l0_test239/summary.json,239,6500,16e8294bf69104151a5a310d2b6ba6b569b06f9f4df61f5ba58fb3dc76509195,Complete 239-task headline summary
headline.discovery.rows,headline,DiscoveryBench,lmw/universal_discovery_real/aaai27_language_growth_protocol_v1_fixed_l0_test239/official_eval.jsonl,239,1162842,7607b2c41b4b0fa73282a17fc0056a62f6451387a07436e188e9e249365c2a25,Native HMS decisions for all 239 tasks
headline.newton.summary,headline,NewtonBench,lmw/nb_activeprobe/aaai27_newton_full324_no_promotion_gates_20260717/summary.json,324,1104518,5a0c80735be89dcf25fec96c30292dc8014eeedb71418f1b58718d602ebd99f2,Complete 324-task headline summary
headline.newton.rows,headline,NewtonBench,lmw/nb_activeprobe/aaai27_newton_full324_no_promotion_gates_20260717/rows.csv,324,54229,c2ec263e52ac68b80b3806d3788eb023ff95529244928c37c672556d8c6ef1ea,Symbolic-agreement decisions for all 324 tasks
headline.ultrahorizon.summary,headline,UltraHorizon,lmw/uh_official/aaai27_uh_full96_marsfull_strict_agent_paperjudge_20260717/summary.json,96,4360,cdecd6f1191292a7e65af843d618f2a53f62542ccec6b82c644368dac3efd551,Strict 96-episode headline summary
headline.ultrahorizon.rows,headline,UltraHorizon,lmw/uh_official/aaai27_uh_full96_marsfull_strict_agent_paperjudge_20260717/run.jsonl,96,24901610,4481ffe4bf17f3c479ae8f97ced7c53b55ddd7aadac0b441db974437689bc51c,Paper-style judge records for all 96 episodes
baseline.discovery.direct,matched baseline,DiscoveryBench,lmw/aaai27_mechanism_audit_20260721/direct_vs_rghli_bootstrap.json,,578,355e532776ec6842b2ddefcda6e7d39a89e9485327306b316fc9783bc5d7ca7a,Paired Direct comparison
baseline.discovery.react,matched baseline,DiscoveryBench,lmw/aaai27_mechanism_audit_20260721/react_vs_rghli_bootstrap.json,,588,2bfcf19411ecdf96793e5859ba1ecb05b9464ba5aad09c7b40c6735bacb8c077,Paired ReAct comparison
baseline.discovery.codeact,matched baseline,DiscoveryBench,lmw/aaai27_mechanism_audit_20260721/codeact_vs_rghli_bootstrap.json,,593,5e76e3a2ab544394cae6ab2f795c303231c5e7dbe23cd67ba05b67cda1fdd3e0,Paired CodeAct comparison
baseline.newton.summary,matched baseline,NewtonBench,paper_assets/evidence/newton_matched_controls/audited_summary.json,,4493,7d9de199aafbdb73be1c604f0c959ec203c3d288fe2cf4cfc6224a8330351922,Complete matched-control summary
baseline.newton.aggregate,matched baseline,NewtonBench,paper_assets/evidence/newton_matched_controls/audited_headline.csv,2,344,a9362096ace11b325cc1624ed92a50f5bded29212fbb06aa95dec7fc7639d349,Audited matched-control aggregate rows
baseline.newton.vanilla_rows,matched baseline,NewtonBench,paper_assets/evidence/newton_matched_controls/vanilla_agent_tasks.csv,324,83839,07f49126a15ea10760c0ca151ba5496ef20b2a744fad3a5f79bfc5b9650182f3,Complete 324-task Vanilla/ReAct-like control records
baseline.newton.codeact_rows,matched baseline,NewtonBench,paper_assets/evidence/newton_matched_controls/code_assisted_agent_tasks.csv,324,89211,d3e401a862af92b70386883fa2bc46355ede028ebfc5cf3518e7db9033d6b983,Complete 324-task CodeAct control records
mechanism.operator_usage,mechanism,DiscoveryBench,lmw/aaai27_mechanism_audit_20260721/discovery_full239_operator_usage.json,,2405,a2d04a432c27526ec30342596dc815be39aafbb55972763b022cb001e9f5d179,Operator reuse counts over the complete run
mechanism.language_growth.summary,mechanism,NewtonBench,paper_assets/evidence/newton_language_growth/summary.json,,14011,c01532db2c18d6e50dbe186cb1b28275170f05f4f3dcaea7d8f632d38b864987,Frozen-transfer and multi-step trajectory summary
mechanism.language_growth.trajectory,mechanism,NewtonBench,paper_assets/evidence/newton_language_growth/trajectory.csv,4,274,89426e264f4dae8bf988b99e1c2021da6feed30e89b79e0c97c65bad10597b6c,Accepted and rejected language updates
mechanism.language_growth.decisions,mechanism,NewtonBench,paper_assets/evidence/newton_language_growth/operator_decisions.csv,3,720,96c32f0ec9ea44b929bae05043c736beafdf0b88aa5be5026eae1262dcf81959,Promotion decision audit
uncertainty.headline,uncertainty,All,lmw/paper_safe_results/bootstrap_headline_ci_20260729.json,,2414,b29725fb269d7dfeba98c62ed5e9200a928c26f5b2b7639dcc5408cc988f2edc,Ten-thousand-draw headline bootstrap intervals
backbone.gpt4o_mini,proposal-core substitution,NewtonBench,lmw/nb_activeprobe/aaai27_newton_clean_20260724_seed2031_seed2031/summary.json,324,1004835,3667eaf22695c3953ce53888dd1e0134af8873de532de0720f6544b67783c229,Complete 324-task diagnostic
backbone.discovery.gemini_flash_lite.summary,proposal-core substitution,DiscoveryBench,lmw/universal_discovery_real/aaai27_modelcore_gemini_flash_lite_discovery_full239_matched_20260729/summary.json,239,6441,dc91db1ba6ec1b6d6005c0358d665fcdc2ed92babd7e8cdd379361e604627454,Complete 239-task matched substitution
backbone.discovery.gemini_flash_lite.rows,proposal-core substitution,DiscoveryBench,lmw/universal_discovery_real/aaai27_modelcore_gemini_flash_lite_discovery_full239_matched_20260729/official_eval.jsonl,239,1135257,bef5d81fc573ad053f3f584324114d776d31aa93d3fe8e6470957ef4c21ee170,Native HMS decisions for all 239 tasks
backbone.discovery.qwen3_30b_a3b.summary,proposal-core substitution,DiscoveryBench,lmw/universal_discovery_real/aaai27_modelcore_qwen3_30b_discovery_full239_matched_20260729/summary.json,239,6443,ae570ef87f95a3c0a86fe8647dc532d63299bb8a56a017970a6ed0b264751fd8,Complete 239-task matched substitution
backbone.discovery.qwen3_30b_a3b.rows,proposal-core substitution,DiscoveryBench,lmw/universal_discovery_real/aaai27_modelcore_qwen3_30b_discovery_full239_matched_20260729/official_eval.jsonl,239,1119045,9929cc6685cb23f378f80a2588dacae68f37f41710423af736fb9d85d9a84fb6,Native HMS decisions for all 239 tasks
backbone.gemini_flash_lite,proposal-core substitution,NewtonBench,lmw/nb_activeprobe/aaai27_modelcore_gemini_flash_lite_newton_full324_20260721/summary.json,324,1004872,d49f5f49866b244bad4ea328169278b12f4c461e3309771b4bf209e492f799f4,Complete 324-task diagnostic
backbone.qwen3_30b_a3b,proposal-core substitution,NewtonBench,lmw/nb_activeprobe/aaai27_modelcore_qwen3_30b_newton_full324_20260721/summary.json,324,1003734,0eee031fecd07bc4fd8d031cac6535db859f95577ae2a86fe23c8368f1ce8b94,Complete 324-task diagnostic
backbone.gpt4o,proposal-core substitution,NewtonBench,lmw/nb_activeprobe/aaai27_modelcore_gpt4o_newton_full324_rghli_20260721/summary.json,324,1002995,c7d57c98f2584579b54406f0a719765673d22a949dd83618c8fb76998ec493c2,Complete 324-task diagnostic
backbone.deepseek_v4_flash,proposal-core substitution,NewtonBench,lmw/nb_activeprobe/aaai27_modelcore_deepseek_v4_flash_newton_full324_rghli_20260721/summary.json,324,1004599,59d3fd39612d2af6d6df8c4b1d4c68e25a18f534d065c4850059cc6a6a2302f8,Complete 324-task diagnostic
backbone.ultrahorizon.gpt4o_mini,proposal-core substitution,UltraHorizon,lmw/uh_official/uh_clean_universal_full96_20260715/summary.json,96,4214,d41654ea0591d958929120619a665cf6fca5094d9150be9c4eac933ba9413d23,Complete 96-episode controller-enabled substitution
backbone.ultrahorizon.gpt4o_mini.grid,proposal-core substitution,UltraHorizon,lmw/uh_official/uh_clean_universal_grid_full32_20260715/summary.json,32,1326,711aeb16192542c37619088fe45e0ed4aeacd4c6515d9c1a3c11fe11c5bf3a1b,Complete 32-seed Grid substitution source
backbone.ultrahorizon.gpt4o_mini.seq,proposal-core substitution,UltraHorizon,lmw/uh_official/uh_clean_universal_seq_full32_20260715/summary.json,32,1304,47f1e361e3025ff900c6d20c112275f771ca0aff672681fae2673abcd35c4dd2,Complete 32-seed Seq substitution source
backbone.ultrahorizon.gpt4o_mini.bio,proposal-core substitution,UltraHorizon,lmw/uh_official/uh_clean_universal_bio_full32_20260715/summary.json,32,1315,e450997cb6d72c6d1b47fab8e53d8451792727e79857212fb8106be812288124,Complete 32-seed Bio substitution source
backbone.ultrahorizon.gemini.grid,proposal-core substitution,UltraHorizon,lmw/uh_official/aaai27_modelcore_gemini_uh_grid_full32_20260721/summary.json,32,1390,0aa7ac96c451f32c6b7a98daca3e9110c4a1d9f79b5daa4e7537865da1ebd00c,Complete 32-seed Grid substitution
backbone.ultrahorizon.gemini.seq,proposal-core substitution,UltraHorizon,lmw/uh_official/aaai27_modelcore_gemini_uh_seq_full32_20260721/summary.json,32,1370,962cc40386b2dc3dbe42bafb2caf5bf53c8628bc573fc601e64b6a8d361827f5,Complete 32-seed Seq substitution
backbone.ultrahorizon.gemini.bio,proposal-core substitution,UltraHorizon,lmw/uh_official/aaai27_modelcore_gemini_uh_bio_full32_20260721/summary.json,32,1389,36c5783b2208265d4edc65bacf1835203e99ec78df8ae1e5bc3735dedcf29be5,Complete 32-seed Bio substitution
backbone.ultrahorizon.qwen.grid,proposal-core substitution,UltraHorizon,lmw/uh_official/aaai27_modelcore_qwen_uh_grid_full32_20260721/summary.json,32,1409,ee98059fb130c1fac25364c7d6ad44eb579c6e2b9fdc6c69cef46874e9355d6f,Complete 32-seed Grid substitution
backbone.ultrahorizon.qwen.seq,proposal-core substitution,UltraHorizon,lmw/uh_official/aaai27_modelcore_qwen_uh_seq_full32_20260721/summary.json,32,1385,94e7a4522ebe3a987a96226db0b45fd91688318aaa29e4b4303378e2fbf373cc,Complete 32-seed Seq substitution
backbone.ultrahorizon.qwen.bio,proposal-core substitution,UltraHorizon,lmw/uh_official/aaai27_modelcore_qwen_uh_bio_full32_20260721/summary.json,32,1389,9f7ac2d77ec32abc04023e016af7579e31cf4a15eb296f9acca8a9efb665e0bd,Complete 32-seed Bio substitution
audit.model_substitution.csv,audit,All,paper_assets/evidence/model_substitution_audit.csv,11,4025,2e93bfacb184d4129e341fa512ea99e0da597d4eb99e9374b037ac3ab1f31e97,Protocol-validated model-substitution table
audit.model_substitution.json,audit,All,paper_assets/evidence/model_substitution_audit.json,11,6676,5a5a80e9ac9605a746e1561f899ec5771095a90c859c09e53cd488fc9b2f515a,Source hashes and validated model-substitution rows
