backend,module_name,equation_difficulty,model_system,law_version,experiment_version,answered,exact_accuracy,symbolic_equivalent,rounds,num_experiments,agent_model,judge_model,terminal_status,trial_path
vanilla_agent,m0_gravity,easy,complex_system,v0,1,1,0,0,5,20,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/easy/v0/complex_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,easy,complex_system,v1,1,1,0,0,5,20,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/easy/v1/complex_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,easy,complex_system,v2,1,1,0,0,5,20,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/easy/v2/complex_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,easy,simple_system,v0,1,1,0,0,4,18,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/easy/v0/simple_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,easy,simple_system,v1,1,1,0,0,4,18,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/easy/v1/simple_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,easy,simple_system,v2,1,1,0,0,5,20,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/easy/v2/simple_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,easy,vanilla_equation,v0,1,1,0,0,6,25,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/easy/v0/vanilla_equation_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,easy,vanilla_equation,v1,1,1,0,0,6,25,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/easy/v1/vanilla_equation_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,easy,vanilla_equation,v2,1,1,0,0,7,30,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/easy/v2/vanilla_equation_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,hard,complex_system,v0,1,1,0,0,5,20,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/hard/v0/complex_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,hard,complex_system,v1,1,1,0,0,4,15,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/hard/v1/complex_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,hard,complex_system,v2,1,1,0,0,5,20,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/hard/v2/complex_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,hard,simple_system,v0,1,1,0,0,5,16,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/hard/v0/simple_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,hard,simple_system,v1,1,1,0,0,5,20,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/hard/v1/simple_system_noise0_0_v1/trials/trial0.json
vanilla_agent,m0_gravity,hard,simple_system,v2,1,1,0,0,5,20,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/vanilla_agent/hard/v2/simple_system_noise0_0_v1/trials/trial0.json
