backend,module_name,equation_difficulty,model_system,law_version,experiment_version,answered,exact_accuracy,symbolic_equivalent,rounds,num_experiments,agent_model,judge_model,terminal_status,trial_path
code_assisted_agent,m0_gravity,easy,complex_system,v0,1,1,0,0,10,6,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/easy/v0/complex_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,easy,complex_system,v1,1,1,0,0,10,10,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/easy/v1/complex_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,easy,complex_system,v2,1,1,0,0,10,5,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/easy/v2/complex_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,easy,simple_system,v0,1,1,0,0,10,12,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/easy/v0/simple_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,easy,simple_system,v1,1,1,0,0,10,10,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/easy/v1/simple_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,easy,simple_system,v2,1,1,0,0,10,6,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/easy/v2/simple_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,easy,vanilla_equation,v0,1,1,0,0,10,10,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/easy/v0/vanilla_equation_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,easy,vanilla_equation,v1,1,1,0,0,8,8,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/easy/v1/vanilla_equation_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,easy,vanilla_equation,v2,1,1,0,0,10,15,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/easy/v2/vanilla_equation_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,hard,complex_system,v0,2,1,0,0,9,6,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/hard/v0/complex_system_noise0_0_v2/trials/trial0.json
code_assisted_agent,m0_gravity,hard,complex_system,v1,2,1,0,0,10,5,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/hard/v1/complex_system_noise0_0_v2/trials/trial0.json
code_assisted_agent,m0_gravity,hard,complex_system,v2,2,1,0,0,10,8,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/hard/v2/complex_system_noise0_0_v2/trials/trial0.json
code_assisted_agent,m0_gravity,hard,simple_system,v0,2,1,0,0,10,12,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/hard/v0/simple_system_noise0_0_v2/trials/trial0.json
code_assisted_agent,m0_gravity,hard,simple_system,v1,2,1,0,0,10,5,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/hard/v1/simple_system_noise0_0_v2/trials/trial0.json
code_assisted_agent,m0_gravity,hard,simple_system,v2,2,1,0,0,10,20,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/hard/v2/simple_system_noise0_0_v2/trials/trial0.json
code_assisted_agent,m0_gravity,hard,vanilla_equation,v0,1,1,0,0,10,18,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/hard/v0/vanilla_equation_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,hard,vanilla_equation,v1,1,1,0,0,10,4,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/hard/v1/vanilla_equation_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,hard,vanilla_equation,v2,2,1,0,0,9,6,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/hard/v2/vanilla_equation_noise0_0_v2/trials/trial0.json
code_assisted_agent,m0_gravity,medium,complex_system,v0,1,1,0,0,10,6,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/medium/v0/complex_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,medium,complex_system,v1,1,1,0,0,10,18,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/medium/v1/complex_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,medium,complex_system,v2,2,1,0,0,10,10,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/medium/v2/complex_system_noise0_0_v2/trials/trial0.json
code_assisted_agent,m0_gravity,medium,simple_system,v0,1,1,0,0,8,6,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/medium/v0/simple_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,medium,simple_system,v1,1,1,0,0,10,15,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/medium/v1/simple_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,medium,simple_system,v2,1,1,0,0,10,15,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/medium/v2/simple_system_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,medium,vanilla_equation,v0,1,1,0,0,10,15,gpt4omini,gpt41,max_turns_reached,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/medium/v0/vanilla_equation_noise0_0_v1/trials/trial0.json
code_assisted_agent,m0_gravity,medium,vanilla_equation,v1,1,1,0,0,7,14,gpt4omini,gpt41,completed,lmw/newton_external/aaai27_newton_gpt4omini_matched_full324_20260724/gpt4omini/m0_gravity/code_assisted_agent/medium/v1/vanilla_equation_noise0_0_v1/trials/trial0.json
